state,date_dt,new_case,tot_cases,new_death,tot_death
AL,2020-01-31,0,0,0,0
AL,2020-02-29,0,0,0,0
AL,2020-03-31,999,999,13,13
AL,2020-04-30,6307,7306,267,280
AL,2020-05-31,10939,18245,352,632
AL,2020-06-30,19819,38064,315,947
AL,2020-07-31,49803,87867,634,1581
AL,2020-08-31,38191,126058,601,2182
AL,2020-09-30,28643,154701,358,2540
AL,2020-10-31,37584,192285,427,2967
AL,2020-11-30,18352,210637,246,3213
AR,2020-01-31,0,0,0,0
AR,2020-02-29,0,0,0,0
AR,2020-03-31,560,560,8,8
AR,2020-04-30,2695,3255,53,61
AR,2020-05-31,3998,7253,72,133
AR,2020-06-30,13524,20777,137,270
AR,2020-07-31,21734,42511,183,453
AR,2020-08-31,18713,61224,344,797
AR,2020-09-30,22473,83697,572,1369
AR,2020-10-31,28493,112190,556,1925
AR,2020-11-30,15816,128006,219,2144
AZ,2020-01-31,1,1,0,0
AZ,2020-02-29,0,1,0,0
AZ,2020-03-31,1288,1289,24,24
AZ,2020-04-30,6359,7648,296,320
AZ,2020-05-31,12288,19936,586,906
AZ,2020-06-30,59279,79215,726,1632
AZ,2020-07-31,94795,174010,2062,3694
AZ,2020-08-31,27825,201835,1335,5030
AZ,2020-09-30,16672,218507,621,5650
AZ,2020-10-31,27439,245946,329,5979
AZ,2020-11-30,20616,266562,261,6240
CA,2020-01-31,3,3,0,0
CA,2020-02-29,9,12,0,0
CA,2020-03-31,8119,8131,172,172
CA,2020-04-30,40786,48917,1810,1982
CA,2020-05-31,61666,110583,2231,4213
CA,2020-06-30,112334,222917,1767,5980
CA,2020-07-31,270671,493588,3025,9005
CA,2020-08-31,210497,704085,3928,12933
CA,2020-09-30,106540,810625,2859,15792
CA,2020-10-31,111380,922005,1834,17626
CA,2020-11-30,69604,991609,482,18108
CO,2020-01-31,0,0,0,0
CO,2020-02-29,0,0,0,0
CO,2020-03-31,2966,2966,69,69
CO,2020-04-30,12216,15182,708,777
CO,2020-05-31,11196,26378,668,1445
CO,2020-06-30,6337,32715,245,1690
CO,2020-07-31,14094,46809,148,1838
CO,2020-08-31,10615,57424,107,1945
CO,2020-09-30,13112,70536,106,2051
CO,2020-10-31,36814,107350,234,2285
CO,2020-11-30,40249,147599,183,2468
CT,2020-01-31,0,0,0,0
CT,2020-02-29,0,0,0,0
CT,2020-03-31,3128,3128,69,69
CT,2020-04-30,24572,27700,2188,2257
CT,2020-05-31,14501,42201,1687,3944
CT,2020-06-30,4313,46514,378,4322
CT,2020-07-31,3296,49810,110,4432
CT,2020-08-31,3069,52879,33,4465
CT,2020-09-30,4671,57550,43,4508
CT,2020-10-31,13657,71207,108,4616
CT,2020-11-30,14692,85899,110,4726
DE,2020-01-31,0,0,0,0
DE,2020-02-29,0,0,0,0
DE,2020-03-31,319,319,10,10
DE,2020-04-30,4415,4734,142,152
DE,2020-05-31,4872,9606,217,369
DE,2020-06-30,1904,11510,140,509
DE,2020-07-31,3367,14877,76,585
DE,2020-08-31,2658,17535,20,605
DE,2020-09-30,3078,20613,31,636
DE,2020-10-31,4513,25126,74,710
DE,2020-11-30,2420,27546,22,732
FL,2020-01-31,0,0,0,0
FL,2020-02-29,0,0,0,0
FL,2020-03-31,6490,6490,85,85
FL,2020-04-30,27200,33690,1183,1268
FL,2020-05-31,21074,54764,1183,2451
FL,2020-06-30,95017,149781,1054,3505
FL,2020-07-31,315249,465030,3338,6843
FL,2020-08-31,151599,616629,4344,11187
FL,2020-09-30,81422,698051,3130,14317
FL,2020-10-31,93946,791997,2444,16761
FL,2020-11-30,59828,851825,611,17372
GA,2020-01-31,0,0,0,0
GA,2020-02-29,0,0,0,0
GA,2020-03-31,4585,4585,130,130
GA,2020-04-30,21510,26095,981,1111
GA,2020-05-31,20914,47009,941,2052
GA,2020-06-30,34282,81291,753,2805
GA,2020-07-31,105061,186352,947,3752
GA,2020-08-31,84119,270471,1881,5633
GA,2020-09-30,47555,318026,1388,7021
GA,2020-10-31,42764,360790,958,7979
GA,2020-11-30,56086,416876,902,8881
HI,2020-01-31,0,0,0,0
HI,2020-02-29,0,0,0,0
HI,2020-03-31,185,185,1,1
HI,2020-04-30,377,607,15,16
HI,2020-05-31,45,626,1,17
HI,2020-06-30,235,842,1,18
HI,2020-07-31,1147,1989,8,26
HI,2020-08-31,5846,7835,44,70
HI,2020-09-30,4754,12589,66,136
HI,2020-10-31,2406,14995,82,218
HI,2020-11-30,1176,16171,3,221
IA,2020-01-31,0,0,0,0
IA,2020-02-29,0,0,0,0
IA,2020-03-31,497,497,7,7
IA,2020-04-30,6648,7145,155,162
IA,2020-05-31,12407,19552,372,534
IA,2020-06-30,9395,28947,180,714
IA,2020-07-31,15635,44582,153,867
IA,2020-08-31,20241,64823,249,1116
IA,2020-09-30,24007,88830,230,1346
IA,2020-10-31,39136,127966,370,1716
IA,2020-11-30,43277,171243,215,1931
ID,2020-01-31,0,0,0,0
ID,2020-02-29,0,0,0,0
ID,2020-03-31,525,525,9,9
ID,2020-04-30,1490,2015,54,63
ID,2020-05-31,824,2839,19,82
ID,2020-06-30,3278,6117,10,92
ID,2020-07-31,14604,20721,97,189
ID,2020-08-31,11367,32088,172,361
ID,2020-09-30,9960,42048,108,469
ID,2020-10-31,22560,64608,160,629
ID,2020-11-30,13671,78279,120,749
IL,2020-01-31,2,2,0,0
IL,2020-02-29,0,2,0,0
IL,2020-03-31,5992,5994,99,99
IL,2020-04-30,46924,52918,2256,2355
IL,2020-05-31,67342,120260,3035,5390
IL,2020-06-30,23978,144238,1734,7124
IL,2020-07-31,35880,180118,568,7692
IL,2020-08-31,56607,236725,543,8235
IL,2020-09-30,59038,295763,681,8916
IL,2020-10-31,120796,416559,1124,10040
IL,2020-11-30,119983,536542,806,10846
IN,2020-01-31,0,0,0,0
IN,2020-02-29,0,0,0,0
IN,2020-03-31,2159,2159,49,49
IN,2020-04-30,15676,17835,1065,1114
IN,2020-05-31,16739,34574,1020,2134
IN,2020-06-30,11020,45594,506,2640
IN,2020-07-31,20560,66154,325,2965
IN,2020-08-31,28042,94196,331,3296
IN,2020-09-30,25823,120019,336,3632
IN,2020-10-31,59339,179358,700,4332
IN,2020-11-30,51607,230965,481,4813
KS,2020-01-31,0,0,0,0
KS,2020-02-29,0,0,0,0
KS,2020-03-31,428,428,9,9
KS,2020-04-30,3810,4238,120,129
KS,2020-05-31,5481,9719,79,208
KS,2020-06-30,4724,14443,62,270
KS,2020-07-31,13369,27812,88,358
KS,2020-08-31,14800,42612,88,446
KS,2020-09-30,17137,59749,232,678
KS,2020-10-31,25432,85181,351,1029
KS,2020-11-30,24044,109225,186,1215
KY,2020-01-31,0,0,0,0
KY,2020-02-29,0,0,0,0
KY,2020-03-31,591,591,18,18
KY,2020-04-30,4117,4708,222,240
KY,2020-05-31,4996,9704,191,431
KY,2020-06-30,5920,15624,134,565
KY,2020-07-31,14527,30151,170,735
